stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\breton\OneDrive\Desktop\2023 Spring 2B\Intro to Programming II\Projects\Mini Project 2\Tower_Defence\bin\Debug\allegro5.cfg r
dtor     D               dtor.c:196  _al_register_destructor          [   0.04424] added dtor for sample_instance 00000000085B96D0, func 0000000061BE59F2
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.04424] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04425] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04425] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.04425] added dtor for sample_instance 00000000085B85F0, func 0000000061BE59F2
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.04426] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04426] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04427] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.04427] added dtor for sample_instance 00000000085B8050, func 0000000061BE59F2
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.04427] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04428] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04428] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.04429] added dtor for sample_instance 00000000085B9C70, func 0000000061BE59F2
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.04429] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04430] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04430] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.04430] added dtor for sample_instance 00000000085B9370, func 0000000061BE59F2
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.04431] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04431] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04431] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.04432] added dtor for sample_instance 00000000085B8710, func 0000000061BE59F2
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.04432] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04433] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04433] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.04433] added dtor for sample_instance 00000000085B9D90, func 0000000061BE59F2
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.04434] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04434] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04435] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.04435] added dtor for sample_instance 00000000085B9130, func 0000000061BE59F2
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.04436] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04436] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04436] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.04437] added dtor for sample_instance 00000000085B9490, func 0000000061BE59F2
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.04437] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04437] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04438] 
